date,regime_label,proba_up,position,turnover,cost,market_return,strategy_return,equity,benchmark_equity
2023-04-04,High Volatility,0.6937246322631836,1,0,0.0,-0.002495481657121423,-0.002495481657121423,0.9446060625743001,1.6155122070315313
2023-04-05,High Volatility,0.7255827784538269,1,0,0.0,0.0035727731328032467,0.0035727731328032467,0.9479869617322383,1.6212943887015354
2023-04-06,High Volatility,0.808235764503479,1,0,0.0,0.0009958070170100843,0.0009958070170100843,0.9489314439837438,1.6229096891607273
2023-04-10,High Volatility,0.520061731338501,1,0,0.0,-4.135333298352082e-05,-4.135333298352082e-05,0.9488922033171341,1.6228425778235978
2023-04-11,High Volatility,0.3835762143135071,0,1,0.0007,-0.0041434563234613855,-0.0007,0.9482282111991663,1.6161323119296371
2023-04-12,High Volatility,0.7670871615409851,1,1,0.0007,0.013175510497831548,0.012475510497831549,0.960131940362047,1.6375665737714615
2023-04-13,High Volatility,0.5611890554428101,1,0,0.0,-0.0020715175845779886,-0.0020715175845779886,0.9581450687942702,1.634177836943749
2023-04-14,High Volatility,0.8348450064659119,1,0,0.0,0.0033007035826147536,0.0033007035826147536,0.9613128467275068,1.6395806852800339
2023-04-17,High Volatility,0.5790475010871887,1,0,0.0,0.0008548548034659753,0.0008548548034659753,0.9621349809848084,1.6409828879589718
2023-04-18,High Volatility,0.7188208699226379,1,0,0.0,-8.426554793962826e-05,-8.426554793962826e-05,0.9620539095692555,1.6408446154626442
2023-04-19,High Volatility,0.7309181094169617,1,0,0.0,-0.005970335188311131,-0.005970335188311131,0.9563272373467886,1.6310774088775564
2023-04-20,Low Volatility,0.7175927758216858,1,0,0.0,0.0009027812573008861,0.0009027812573008861,0.9571909814798552,1.6325505798670223
2023-04-21,Low Volatility,0.7990192770957947,1,0,0.0,0.0008512167782723126,0.0008512167782723126,0.958006105377653,1.6339408259284258
2023-04-24,Low Volatility,0.7432761192321777,1,0,0.0,-0.01593718381857645,-0.01593718381857645,0.9428592060366917,1.6081068181068696
2023-04-25,Low Volatility,0.7414072155952454,1,0,0.0,-0.0038485835033448754,-0.0038485835033448754,0.939237507325579,1.6019297787852185
2023-04-26,Low Volatility,0.8398343920707703,1,0,0.0,0.019377193402696356,0.019377193402696356,0.9576147690188962,1.6332733766818568
2023-04-27,Low Volatility,0.736071765422821,1,0,0.0,0.008219331313243467,0.008219331313243467,0.9655181578673174,1.6467531130114412
2023-04-28,Low Volatility,0.8393140435218811,1,0,0.0,-0.0003861810485107871,-0.0003861810485107871,0.9651453650401516,1.6461172909467379
2023-05-01,Low Volatility,0.5306845307350159,1,0,0.0,-0.011653906680571788,-0.011653906680571788,0.9539629370689483,1.6270449431896739
2023-05-02,Low Volatility,0.5829527378082275,1,0,0.0,-0.007022908054892971,-0.007022908054892971,0.9472868134149641,1.6156583863233258
2023-05-03,Low Volatility,0.7077978849411011,1,0,0.0,-0.007244913455062742,-0.007244913455062742,0.9404486034650315,1.6039953808886576
2023-05-04,Low Volatility,0.7018678188323975,1,0,0.0,0.018306166381879797,0.018306166381879797,0.9578231576086648,1.6336287967805065
2023-05-05,Low Volatility,0.4532630443572998,0,1,0.0007,0.0004520264848820656,-0.0007,0.9571529160102664,1.6343674071862735
2023-05-08,Low Volatility,0.42106136679649353,0,0,0.0,-0.004589938949059595,-0.0,0.9571529160102664,1.626882950306947
2023-05-09,Low Volatility,0.5281264781951904,1,1,0.0007,0.004473942241914432,0.003773942241914432,0.9607719806069294,1.6341778369437492
2023-05-10,Low Volatility,0.39674678444862366,0,1,0.0007,-0.0016980648897067581,-0.0007,0.9600996755547252,1.6314052516164088
2023-05-11,Low Volatility,0.7714772820472717,1,1,0.0007,-0.0015845615894390477,-0.0022845615894390475,0.9579087722935391,1.628822236531593
2023-05-12,Low Volatility,0.8028202056884766,1,0,0.0,0.002953797680316935,0.002953797680316935,0.9607424239596722,1.6336405605493711
2023-05-15,Low Volatility,0.7223942279815674,1,0,0.0,-0.006398107681917463,-0.006398107681917463,0.9546151129765019,1.623221718308647
2023-05-16,Low Volatility,0.5673633813858032,1,0,0.0,0.011820688622071574,0.011820688622071574,0.9659662781018413,1.6425231702855678
2023-05-17,Low Volatility,0.531834065914154,1,0,0.0,0.009400723063727155,0.009400723063727155,0.9750898765922188,1.6580368815367255
2023-05-18,Low Volatility,0.6129781007766724,1,0,0.0,-0.0014469138806754414,-0.0014469138806754414,0.9736800257272318,1.655639579721036
2023-05-19,Bull,0.514225423336029,1,0,0.0,0.00015502267980239146,0.00015502267980239146,0.9738309799144491,1.6558962613006905
2023-05-22,Bull,0.5805543661117554,1,0,0.0,-0.011285468768284297,-0.011285468768284297,0.9629026226102562,1.637313749165206
2023-05-23,Low Volatility,0.3746596872806549,0,1,0.0007,-0.007345512678305211,-0.0007,0.9622288266305352,1.6253309042114867
2023-05-24,Bull,0.7410021424293518,1,1,0.0007,0.008719456079011883,0.008019456079011883,0.9699764025946511,1.6395648716891014
